OPEN TRADES DECEMBER;;;;;;;;;;Trades September;Open;;Trades September;
Symbol;;Quantity;Mult;Cost Price;Cost Basis (incl. commission);Close Price;Value (incl. commission);Unrealized P/L (incl. commission);;Proceeds;change basis;Comm;Real gain;Diff.
xx;;0;0;0;0,00;0,00;0,00;0,00;;;;;;
Total;;;;;0,00;;0,00;0,00;;;;;;
;;;;;;;;;;;;;;
Total Stocks in USD;;;;;0,00;;0,00;0,00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Trades (open and closed in Sep);;;;;;;;;;;;;;
CAVA;;;;;;;;;;;;;;
MARA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
RECON;;;;;;;;;;0,00;-464.851,68;-190,51;-17.046,68;-447.995,51
;;;;;;;;;;452.658,12;-464.851,68;-190,50;-17.046,69;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Trades, Month ;;;;;;;;;;;;;;
Trades (Sales);;;;;640.558,57;;;;;;;;;
Trades (Purchase) ;;;;;-187.900,45;;;;;;;;;
Trades (Net) - excl. commission;;;;;452.658,12;;;;;;;;;
;;;;;;;;;;;;;;
Open Trades, Change ;;;;;;;;;;;;;;
Open Trades, Nov - incl. commission;;;;;464.851,68;;;;;;;;;
Open Trades, Dec - incl. commission;;;;;0,00;;;;;;;;;
Open Trades, Change ;;;;;-464.851,68;;;;;;;;;
;;;;;;;;;;;;;;
Gain (calculated) incl. commission;;;;;-12.193,56;;;;;;;;;
;;;;;;;;;;;;;;
Recon gain (Trades Overview);;;;;;;gain;loss;;;;;;
Realized gain (Trade Overview) - incl. Commission;;;;;-17.046,69;;69.905,85;-86.952,53;;;;;;
Less commission;;;;;190,50;;109,74;80,76;;;;;;
Rounding;;;;;0,02;;;;;;;;;
FX currency on Novo and Orsted;;;;;-447.995,51;;;;;;;;;
Gain (calculated) - exclusive commission;;;;;-464.851,68;;;;;;;;;
Variance;;;;;-452.658,12;;;;;;;;;
;;;;;;;;;;;;;;
Recon open trades (Open Trades Overview);;;;;;;;;;;;;;
Open trades overview, costs;;;;;0,00;;;;;;;;;
Open trades calculated, costs;;;;;0,00;;;;;;;;;
Variance;;;;;0,00;;;;;;;;;
;;;;;;;;;;;;;;
Unrealized currency gain, Nov;;;;;-9.591,02;;;;;;;;;
Unrealized currency gain, Dec;;;;;0,00;;;;;;;;;
Unrealized currency gain, Change;;;;;9.591,02;;;;;;;;;
;;;;;;;;;;;;;;
Open trades overview, value;;;;;0,00;;;;;;;;;
Unrealized profit;;;;;0,00;;;;;;;;;
Open trades overview, costs;;;;;0,00;;;;;;;;;
Variance;;;;;0,00;;;;;;;;;
